"cod","country","second","pop_risk","pop_tot","incid"
"BMU-5141","Bermuda","Sandys",0,303.875026175323,0
"BMU-5142","Bermuda","Smith's",0,0,0
"BMU-5143","Bermuda","Southampton",0,0,0
"BMU-5144","Bermuda","Warwick",0,0,0
"BOL-1291","Bolivia","Cochabamba",2818.01038894526,20544.2995739411,0.137167508622182
"BOL-1292","Bolivia","Chuquisaca",623.757294989898,6119.10238088089,0.101936077575499
"BOL-1293","Bolivia","El Beni",4013.0264816017,4890.03560694064,0.8206538365295
"BOL-1936","Bolivia","La Paz",17434.2263510784,31868.3734930876,0.547069851395459
"BOL-1937","Bolivia","Oruro",0,6136.15584115486,0
"BOL-1938","Bolivia","Pando",1833.11624620211,1991.13521787366,0.920638754087077
"BOL-1939","Bolivia","Potosí",0,9083.12673446351,0
"BOL-1940","Bolivia","Santa Cruz",32071.4223217119,32380.4683979152,0.990455787346695
"BOL-1941","Bolivia","Tarija",1589.50246929826,5527.96941087536,0.287538217228768
"BRA-1294","Brazil","Goiás",70602.608619293,70793.3097278658,0.997306226968257
"BRA-1311","Brazil","São Paulo",295920.148464903,463493.052641015,0.638456492020171
"BRA-1313","Brazil","Pernambuco",93915.6698704066,95127.0181168526,0.987265991613886
"BRA-576","Brazil","Acre",9093.90687599072,9093.90687599072,1
"BRA-592","Brazil","Amazonas",47137.357615504,50561.1526166478,0.932284079298928
"BRA-593","Brazil","Maranhão",73564.7651294029,76918.909616869,0.956393759295692
"BRA-594","Brazil","Pará",89847.511114276,95213.1283037978,0.943646246215106
"BRA-595","Brazil","Rondônia",7326.9857380775,18979.1604594236,0.386054259551796
"BRA-596","Brazil","Tocantins",5819.93469627978,17866.2870445889,0.325749534962411
"BRA-599","Brazil","Distrito Federal",35715.7478288099,35715.7478288099,1
"BRA-600","Brazil","Mato Grosso do Sul",29395.6172037047,29812.266768531,0.986024223918924
"BRA-601","Brazil","Minas Gerais",200100.686349556,216830.016814159,0.922845873876671
"BRA-602","Brazil","Mato Grosso",37359.5122999316,38250.4031214398,0.976708982159489
"BRA-612","Brazil","Rio Grande do Sul",109031.828503078,109292.549023621,0.997614471225417
"BRA-613","Brazil","Paraná",59740.4949503038,114007.577335087,0.524004599928625
"BRA-614","Brazil","Santa Catarina",38210.3253395482,70894.8102127871,0.538972108464102
"BRA-621","Brazil","Ceará",92521.2037033428,93802.92811811,0.986335987154331
"BRA-622","Brazil","Piauí",32344.2305328122,33548.5656396391,0.96410174074912
"BRA-623","Brazil","Alagoas",30799.928933083,31100.4037876536,0.99033855455311
"BRA-624","Brazil","Bahia",125985.442648306,141083.003354212,0.892988096744717
"BRA-625","Brazil","Espírito Santo",34777.4046228007,35109.4569760333,0.990542367161664
"BRA-626","Brazil","Paraíba",38859.715796329,38859.715796329,1
"BRA-627","Brazil","Rio de Janeiro",165056.348617701,169103.084769223,0.976069412589101
"BRA-628","Brazil","Rio Grande do Norte",34464.8350437153,37679.2380005082,0.914690340692411
